[58.58, -20.33], <a href="/boats/u76.htm">U-76</a></strong> (Oblt. <a href="/men/commanders/494.html">Friedrich von Hippel</a>). Sunk on 5 April 1941 in the North Atlantic south of Iceland, in position 58.35N, 20.20W, by depth charges from the British destroyer <a href=\"/allies/warships/ship/5441.html\">HMS Wolverine</a> and the British sloop <a href=\"/allies/warships/ship/3883.html\">HMS Scarborough</a>.
[60.37, -33.20], <a href="/boats/u110.htm">U-110</a></strong> (Kptlt. <a href="/men/lemp.htm">Fritz-Julius Lemp</a>). <a href=\"/articles/id/32\">Captured</a> on 9 May 1941 in the North Atlantic east of Cape Farewell, Greenland, after being badly damaged by depth charges from the British destroyers <a href=\"/allies/warships/ship/4359.html\">HMS Bulldog</a>, <a href=\"/allies/warships/ship/4322.html\">HMS Broadway</a> and the British corvette <a href=\"/allies/warships/ship/4714.html\">HMS Aubretia</a>. The boat was allowed to sink the day after to preserve the secret of her capture (see below).
[60.40, -29.00], <a href="/boats/u556.htm">U-556</a></strong> (Kptlt. <a href="/men/wohlfarth.htm">Herbert Wohlfarth</a>). Sunk on 27 June 1941 in the North Atlantic south-west of Iceland, in position 60.24N, 29.00W, by depth charges from the British corvettes <a href=\"/allies/warships/ship/4811.html\">HMS Nasturtium</a>, <a href=\"/allies/warships/ship/4807.html\">HMS Celandine</a> and <a href=\"/allies/warships/ship/4761.html\">HMS Gladiolus</a>.
[62.83, -37.83], <a href="/boats/u501.htm">U-501</a></strong> (KrvKpt. <a href="/men/commanders/297.html">Hugo Förster</a>). Sunk at 2330hrs on 10 September 1941 in the <a href=\"/maps/cape_farewell.htm\">Denmark Strait</a> south of Angmagsalik, Greenland, in position 62.50N, 37.50W, by depth charges and ramming from the Canadian corvettes <a href=\"/allies/warships/ship/808.html\">HMCS Chambly</a> and <a href=\"/allies/warships/ship/828.html\">HMCS Moosejaw</a>.
[63.98, -34.80], <a href="/boats/u207.htm">U-207</a></strong> (Oblt. <a href="/men/commanders/817.html">Fritz Meyer</a>). Sunk on 11 September 1941 in the <a href=\"/maps/cape_farewell.htm\">Denmark Strait</a> south-east of Angmagssalik, Greenland, in position 63.59N, 34.48W, by depth charges from the British destroyers <a href=\"/allies/warships/ship/4175.html\">HMS Leamington</a> and <a href=\"/allies/warships/ship/5440.html\">HMS Veteran</a>.
[54.40, -39.62], <a href="/boats/u210.htm">U-210</a></strong> (KrvKpt. <a href="/men/commanders/721.html">Rudolf Lemcke</a>). Sunk on 6 August 1942 in the North Atlantic south of <a href=\"/maps/cape_farewell.htm\">Cape Farewell</a>, in position 54.24N, 39.37W, by depth charges, gunfire and ramming from the Canadian destroyer <a href=\"/allies/warships/ship/4360.html\">HMCS Assiniboine</a>.
[57.18, -30.95], <a href="/boats/u379.htm">U-379</a></strong> (KrvKpt. <a href="/men/commanders/602.html">Paul-Hugo Kettner</a>). Sunk on 8 August 1942 in the North Atlantic south-east of <a href=\"/maps/cape_farewell.htm\">Cape Farewell</a>, in position 57.11N, 30.57W, by depth charges and ramming from the British corvette <a href=\"/allies/warships/ship/4752.html\">HMS Dianthus</a>.
[57.68, -31.50], <a href="/boats/u756.htm">U-756</a></strong> (Kptlt. <a href="/men/commanders/417.html">Klaus Harney</a>). Sunk on 1 September 1942 in the North Atlantic south-east of <a href=\"/maps/cape_farewell.htm\">Cape Farewell</a>, Greenland, in position 57.41N, 31.30W, by depth charges from the Canadian corvette <a href=\"/allies/warships/ship/829.html\">HMCS Morden</a>.
[58.87, -21.70], <a href="/boats/u582.htm">U-582</a></strong> (KrvKpt. <a href="/men/commanders/1150.html">Werner Schulte</a>). Sunk on 5 October 1942 in the North Atlantic south-west of Iceland, in position 58.52N, 21.42W, by depth charges from a US <a href=\"/allies/aircraft/catalina.htm\">Catalina</a> aircraft (VP-73 USN/I).
[58.68, -22.97], <a href="/boats/u619.htm">U-619</a></strong> (Oblt. <a href="/men/commanders/776.html">Kurt Makowski</a>). Sunk on 5 October 1942 in the North Atlantic south-west of Iceland, in position 58.41N, 22.58W, by four depth charges from a British <a href=\"/allies/aircraft/hudson.htm\">Hudson</a> aircraft (269 Sqn RAF/N).
[56.83, -28.08], <a href="/boats/u597.htm">U-597</a></strong> (KrvKpt. <a href="/men/commanders/104.html">Eberhard Bopst</a>). Sunk on 12 October 1942 in the North Atlantic south-east of <a href=\"/maps/cape_farewell.htm\">Cape Farewell</a>, in position 56.50N, 28.05W, by depth charges from a British <a href=\"/allies/aircraft/b24.htm\">Liberator</a> aircraft (120 Sqn RAF/H).
